,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,target_acc_change,domain_separability
source_only,0.9700598802395209,0.962909181756087,0.926829268292683,0.9305466030102708,0.9509594882729211,0.9535727704428328,0.9492828789350417,0.9490095184030635,0.6660727920590481,0.7017081657359457,0.0,0.9972527472527473
dan,0.9610778443113772,0.9548722708477729,0.9073170731707317,0.9068439635940548,0.9360341151385928,0.9431672979443354,0.9348096775402338,0.9349611774620543,0.7767879867650802,0.7347375418019183,0.11071519470603208,0.8585164835164835
dann,0.40119760479041916,0.21426277783960795,0.23902439024390243,0.1288315190476738,0.27078891257995735,0.15791784346616242,0.30367030253809296,0.1670040467844814,0.10740646474930007,0.04979615253795865,-0.5586663273097481,0.8269230769230769
cdan,0.47005988023952094,0.29274189014448754,0.3121951219512195,0.22485669346548876,0.35394456289978676,0.28978417547487073,0.37873318836350905,0.26912758636161566,0.14507508271824893,0.1167525153224263,-0.5209977093407991,0.9739010989010989
dan_lambda0.1,0.9670658682634731,0.9625554604126033,0.9170731707317074,0.9141033235888285,0.9594882729211087,0.9645883800001727,0.9478757706387629,0.9470823880005348,0.7548994655128531,0.7142810756588395,0.08882667345380502,0.9354395604395604
dan_lambda10,0.9311377245508982,0.9200971075930597,0.8341463414634146,0.8303517958907701,0.8912579957356077,0.8912219802665995,0.8855140205833069,0.8805569612501433,0.7174853652328836,0.6831161773468032,0.05141257317383552,0.8887362637362637
