run,strength,mean_src_f1,mean_src_acc,domain_separability,target_acc,target_f1
dan_lambda0.1,0.1,0.9470823880005348,0.9478757706387629,0.9354395604395604,0.7548994655128531,0.7142810756588395
dan,1.0,0.9349611774620543,0.9348096775402338,0.8585164835164835,0.7767879867650802,0.7347375418019183
dan_lambda10,10.0,0.8805569612501433,0.8855140205833069,0.8887362637362637,0.7174853652328836,0.6831161773468032
