,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,target_acc_change,domain_separability
source_only,0.9700598802395209,0.962909181756087,0.926829268292683,0.9305466030102708,0.9509594882729211,0.9535727704428328,0.9492828789350417,0.9490095184030635,0.6660727920590481,0.7017081657359457,0.0,0.9972527472527473
dann,0.281437125748503,0.10054206232550181,0.2,0.06469787915166067,0.20042643923240938,0.08529559150096534,0.22728785499363746,0.0835118443260426,0.052685161618732504,0.027103692721369317,-0.6133876304403156,0.9972527472527473
cdan,0.44011976047904194,0.26423104006431253,0.3024390243902439,0.20626161938643253,0.31130063965884863,0.24331294669747108,0.3512864748427115,0.23793520204940535,0.21939424790022907,0.12605042600601032,-0.446678544158819,0.9697802197802198
