,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,target_acc_change,domain_separability
source_only,0.9700598802395209,0.962909181756087,0.926829268292683,0.9305466030102708,0.9509594882729211,0.9535727704428328,0.9492828789350417,0.9490095184030635,0.6660727920590481,0.7017081657359457,0.0,0.9972527472527473
dann,0.2874251497005988,0.1096934473335508,0.25121951219512195,0.10236331569664903,0.22388059701492538,0.14950817902413713,0.25417508630354874,0.12052164735144566,0.12700432680071264,0.09540674964701876,-0.5390684652583355,0.9793956043956044
cdan,0.38622754491017963,0.16773406957834588,0.2926829268292683,0.1642213770318513,0.31556503198294245,0.23212286495354828,0.33149183457413006,0.18802610385458182,0.2013234919826928,0.07704588696185334,-0.4647493000763553,1.0
