,photo_acc,art_painting_acc,cartoon_acc,photo_f1,art_painting_f1,cartoon_f1,mean_src_acc,mean_src_f1,worst_src_acc,worst_src_f1,sketch_acc,sketch_f1,sketch_acc_change_vs_erm,source_domain_separability,sharpness
erm,0.9700598802395209,0.926829268292683,0.9509594882729211,0.962909181756087,0.9305466030102708,0.9535727704428328,0.9492828789350417,0.9490095184030635,0.926829268292683,0.9305466030102708,0.6660727920590481,0.7017081657359457,0.0,0.8737541528239202,0.5617421567440033
dan_dg,0.9550898203592815,0.9121951219512195,0.9466950959488273,0.9450836614114551,0.9155369169285423,0.9515456508617496,0.9379933460864427,0.937388743067249,0.9121951219512195,0.9155369169285423,0.6660727920590481,0.6621760579785742,0.0,0.7109634551495017,0.3993488848209381
sam,0.9760479041916168,0.9195121951219513,0.9573560767590619,0.9714489797875066,0.9210670336100272,0.9622698482540171,0.9509720586908766,0.9515952872171836,0.9195121951219513,0.9210670336100272,0.7365741919063374,0.7540691146602032,0.07050139984728931,0.8970099667774086,0.12868963181972504
sam_rho0.01,0.9700598802395209,0.9219512195121952,0.9424307036247335,0.9644688937665679,0.9249978336088159,0.9458287302494535,0.9448139344588166,0.9450984858749457,0.9219512195121952,0.9249978336088159,0.6462204123186561,0.6570892592134173,-0.019852379740392,0.8704318936877077,0.2624015212059021
sam_rho0.1,0.9700598802395209,0.8853658536585366,0.9424307036247335,0.9634125665568934,0.8826503448006265,0.947918339488207,0.9326188125075969,0.9313270836152423,0.8853658536585366,0.8826503448006265,0.5573937388648511,0.5135316443939103,-0.10867905319419702,0.840531561461794,0.11695529520511627
