run,strength,mean_src_f1,source_domain_separability,sharpness,sketch_acc
sam_rho0.01,0.01,0.9450984858749457,0.8704318936877077,0.2624015212059021,0.6462204123186561
sam,0.05,0.9515952872171836,0.8970099667774086,0.12868963181972504,0.7365741919063374
sam_rho0.1,0.1,0.9313270836152423,0.840531561461794,0.11695529520511627,0.5573937388648511
