,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,target_acc_change,domain_separability
source_only,0.9700598802395209,0.962909181756087,0.926829268292683,0.9305466030102708,0.9509594882729211,0.9535727704428328,0.9492828789350417,0.9490095184030635,0.6660727920590481,0.7017081657359457,0.0,0.9972527472527473
dann,0.36227544910179643,0.17911653588377666,0.25609756097560976,0.1264128215600848,0.1513859275053305,0.09459304551210053,0.2565863125275789,0.133374134318654,0.020361415118350726,0.005701457435056837,-0.6457113769406974,0.9574175824175825
cdan,0.47005988023952094,0.29274189014448754,0.3121951219512195,0.22485669346548876,0.35394456289978676,0.28978417547487073,0.37873318836350905,0.26912758636161566,0.14507508271824893,0.1167525153224263,-0.5209977093407991,0.9739010989010989
